,Factor_1,Factor_2,Factor_3
0,0.00519269188599452,-0.0067258309766954055,
1,-0.015922294876526424,-0.00013649200799110416,-0.0009834549020237666
2,0.008498770749115637,-0.004949857099055346,
3,,-0.001018051067202431,-0.0014907716273383682
4,0.00698096242470166,0.008531481644514045,-0.006047407961436176
5,-0.014088909619684354,-0.009811016161982917,0.0016518306800196979
6,-0.00016645855512533003,0.0014093267071398552,-0.007251721300578095
7,0.007957408150919007,-0.0017643854126096978,-0.016334345298025865
8,0.0015534977981514295,0.005474259983284916,0.001437603112168865
9,0.0013022097921572885,0.0022717195148006146,-0.010537291281165363
10,0.015317530244259294,-0.0032649358374435633,0.014668451704759207
11,-0.005541288675149712,0.009666753728401993,0.0024017964872746385
12,0.0010031443363455472,-0.00938791456884386,0.012058185564171596
13,0.004189720107584767,,0.012073749867680004
14,0.0008858019739351672,0.022098055892906233,0.01016677119951385
15,-0.0033070907580706925,0.013583818878710055,0.0006085638452785779
16,0.02005891440375175,0.0008165836317712996,-0.000792093656717757
17,0.0009396829975542771,0.003995066830779558,0.015493112604678522
18,0.002928569206424722,-0.001067149250049791,-0.00493460021068696
19,0.007856812957685705,-0.005543451306135317,-0.011688303219673226
20,,-0.0046492760438436994,-0.0012443437140883637
21,0.010531720698562863,-0.0057724355174295595,0.011971284524677604
22,-0.01637706287146901,0.026346028008384065,-0.015864239252200946
23,0.0019808703849313754,-0.0021758001739151096,-0.007853147218429328
24,0.006764086845449899,0.010572141641944439,-0.0017218611017656561
25,0.012093849119638867,0.0006405769200289954,-0.010637799667446653
26,-0.0007918750580583678,-0.005274960662887697,0.0046021477160510344
27,-0.003991668922613496,-0.0007418319534933173,-0.010853574422315326
28,0.010693564681247263,-0.003556284234610499,-0.010694771107880592
29,0.026314743018478408,-0.014129743739220386,0.005074303058021131
30,-0.02163665561003783,0.003085227496408254,
31,-0.002523779686841728,-0.013635440104546311,-0.00858530945152944
32,-0.008065607745013284,-0.011741236291905046,-0.009480458444663584
33,0.014351258913042259,0.003912090121732649,0.013308276503388058
34,-0.009888421037221285,-0.004313032376956794,-0.01737049554446876
35,,-0.002911131476955788,-0.004206063528726664
36,0.017773537755210147,0.0010804657347187041,-0.0026509988374247306
37,0.00459462592079416,0.00026878552742392616,-0.010857035365978492
38,-0.0062688774396274915,0.013989568826273072,
39,0.0025723531833617575,0.010194852316393147,0.016428092343923128
40,-0.0044172571221774955,0.0018431483979862613,0.00221090902956591
41,-0.008268135316929666,0.004464316280745284,-0.011436780190419748
42,0.0010225998517157352,-0.0026891389183960517,0.004295471169127261
43,-0.013548612134830272,-0.005210994753938543,0.01883164146633179
44,-0.0013484605089366674,0.0006814415817952208,-0.006695713849281263
45,0.0004537092683674632,0.0037977138653899714,-0.0047556398217502155
46,-0.0024949630037917458,-0.0016645972668369233,0.0029573743884613564
47,0.011305173352117453,-0.00669325698657654,0.008059806605109514
48,0.008046057241154727,0.002548323453429384,0.010816517526446842
49,0.000990683630820022,0.0010781628703747095,-0.0017355244904190487
50,-0.002703637915368669,-0.0021049814902635642,-0.01860821173997107
51,0.00600273654786764,-0.0032225640299921123,-0.014688658766866548
52,0.009703219872252618,-0.009755422379377541,0.00859492135848682
53,-0.007415559723866658,0.009588875887899704,0.018989210228764965
54,-0.015950626401298997,-0.0025496220842011826,0.009568085535656985
55,0.0027968906971403066,0.0028169651332344754,0.009156034382368172
56,-0.007888602568316245,-0.012830469592851959,-0.007138098179196209
57,0.013335521621534268,-0.0076390645063888546,-0.015349581003718532
58,0.011567810014742464,-0.005121814114444011,-0.004490087586100964
59,-0.013938723556292719,0.005303887363061818,0.005679660232045155
60,-0.00550455855856248,-0.011937324518522674,-0.01892100017900749
61,0.005680582929035042,0.02596495281153555,0.00404322911159652
62,0.006083219326593531,0.001465612178195722,0.003495766044131568
63,-0.002330164573599614,0.002941886439334482,-0.008010068495784445
64,-0.012406932823271651,0.0011123865778757108,0.0009816224345928167
65,-0.011744224422436124,-0.005514314180709903,-0.0035007302807290425
